"","C_SD11","C_SD12","C_SD13","C_SD14","C_SD21","C_SD22A","C_SD22B","C_SD22C","C_SD22D","C_SD22E","C_SD23A","C_SD23B","C_SD23C","C_SD31","C_SD32","C_SD33","C_SD41","C_SD42","C_SD51","C_SD52","C_SD53","C_SD54"
"C_SD11",1,0.759014102520411,0.869762232777769,0.85838717187056,0.773433737192815,0.862015701343691,0.848541762196951,0.718151847305234,0.798458808347079,0.786153844438788,0.709920960804718,0.610302731279125,0.70739213724202,0.925353306485271,0.761398595015966,0.832936792802445,0.632788308860642,0.786207282108256,0.78331810127484,0.682386499313378,0.358892086407798,0.798669717896414
"C_SD12",0.759014102520411,1,0.590402428977298,0.708101696798795,0.438920946944089,0.515496065978766,0.522400267450687,0.433459479355714,0.494350851326745,0.460935843468327,0.436180085896295,0.387423303846869,0.518503032206995,0.773223036498089,0.397188517309152,0.505731372648217,0.286565657370684,0.438868700666742,0.471583216050337,0.82528516561815,0.290431932504739,0.478005076950527
"C_SD13",0.869762232777769,0.590402428977298,1,0.849240463518575,0.731987183357869,0.901240000856024,0.908352160198868,0.787495979363202,0.824434109204152,0.746807577626839,0.649827335106997,0.532270554708472,0.679711955432012,0.82766400367079,0.750983221829698,0.915818556802564,0.513866370714307,0.713826083939497,0.828287231748914,0.593197384838199,0.368596794992685,0.781407980327014
"C_SD14",0.85838717187056,0.708101696798795,0.849240463518575,1,0.635692308980097,0.785957736313538,0.785154132129586,0.666708031088096,0.731489789824391,0.670701027178276,0.598490763744531,0.542642889979454,0.663199464437666,0.824822304460514,0.6560234209032,0.778400480287694,0.471440298245672,0.64123351676422,0.699605563808899,0.671263694072121,0.389584219721317,0.738499679985198
"C_SD21",0.773433737192815,0.438920946944089,0.731987183357869,0.635692308980097,1,0.851825338191164,0.794791994111866,0.693044894263587,0.82018472767976,0.89088756934704,0.838796424966108,0.655556474353163,0.724003508692885,0.765148594843137,0.829589645200511,0.749137808407308,0.766171540820432,0.904245388149723,0.779995674287036,0.432281155904841,0.326460286176203,0.696470280427063
"C_SD22A",0.862015701343691,0.515496065978766,0.901240000856024,0.785957736313538,0.851825338191164,1,0.947587110068765,0.821968915115683,0.884266384230512,0.871837154094509,0.757626975070131,0.575153415539874,0.73078118072959,0.830437068397996,0.818630968671214,0.921040820738446,0.629226070058363,0.830326688742222,0.884164133627654,0.519361973068347,0.366617239489127,0.796142640254358
"C_SD22B",0.848541762196951,0.522400267450687,0.908352160198868,0.785154132129586,0.794791994111866,0.947587110068765,1,0.844477259788714,0.87441243983321,0.819972630664304,0.691657710545738,0.516695413972158,0.684388098933389,0.811326062231724,0.806940476097796,0.917206509953701,0.57958561491951,0.778178101471097,0.875432922138191,0.527888374681518,0.331049345889941,0.77229511436649
"C_SD22C",0.718151847305234,0.433459479355714,0.787495979363202,0.666708031088096,0.693044894263587,0.821968915115683,0.844477259788714,1,0.818872825881852,0.718382717243652,0.588952540758761,0.344758734540903,0.591111547868876,0.684561355510272,0.734193792891781,0.788230825429962,0.526731736384817,0.679577587608863,0.765292245018622,0.462132514054562,0.255026506576628,0.700796750226424
"C_SD22D",0.798458808347079,0.494350851326745,0.824434109204152,0.731489789824391,0.82018472767976,0.884266384230512,0.87441243983321,0.818872825881852,1,0.827112644058739,0.729086074554399,0.537813796337262,0.68413957248349,0.750728132372406,0.76528312262567,0.808278817260957,0.588710238645086,0.77264773442263,0.783925859343274,0.521430493296196,0.32620017343629,0.732806528795652
"C_SD22E",0.786153844438788,0.460935843468327,0.746807577626839,0.670701027178276,0.89088756934704,0.871837154094509,0.819972630664304,0.718382717243652,0.827112644058739,1,0.858157882419002,0.70861755845332,0.769120515868441,0.752184125201012,0.796296059094617,0.737824533873489,0.745436015296574,0.878415612460268,0.752162828706762,0.473483282977956,0.344545469909576,0.740430029707851
"C_SD23A",0.709920960804718,0.436180085896295,0.649827335106997,0.598490763744531,0.838796424966108,0.757626975070131,0.691657710545738,0.588952540758761,0.729086074554399,0.858157882419002,1,0.737934486026247,0.849184656053788,0.700993851181604,0.739421078465867,0.628031859364842,0.767915556580415,0.834683496169068,0.672251162880416,0.431735726355449,0.356230747147908,0.656276057589877
"C_SD23B",0.610302731279125,0.387423303846869,0.532270554708472,0.542642889979454,0.655556474353163,0.575153415539874,0.516695413972158,0.344758734540903,0.537813796337262,0.70861755845332,0.737934486026247,1,0.709896332913024,0.571723299417938,0.534668414451325,0.485232565742013,0.621477445326094,0.668138855571228,0.450475015642453,0.386774234388969,0.333370416575706,0.601877114254989
"C_SD23C",0.70739213724202,0.518503032206995,0.679711955432012,0.663199464437666,0.724003508692885,0.73078118072959,0.684388098933389,0.591111547868876,0.68413957248349,0.769120515868441,0.849184656053788,0.709896332913024,1,0.693757427324532,0.667632358674712,0.637668909597771,0.629290583156359,0.724438745832445,0.648577190914825,0.505284218002513,0.37280333476888,0.670818298248037
"C_SD31",0.925353306485271,0.773223036498089,0.82766400367079,0.824822304460514,0.765148594843137,0.830437068397996,0.811326062231724,0.684561355510272,0.750728132372406,0.752184125201012,0.700993851181604,0.571723299417938,0.693757427324532,1,0.751085718720983,0.801152490094487,0.613041707427494,0.773585341945011,0.780527201418361,0.681550495069413,0.353307780050495,0.741512369281084
"C_SD32",0.761398595015966,0.397188517309152,0.750983221829698,0.6560234209032,0.829589645200511,0.818630968671214,0.806940476097796,0.734193792891781,0.76528312262567,0.796296059094617,0.739421078465867,0.534668414451325,0.667632358674712,0.751085718720983,1,0.765442112611362,0.752986297542442,0.853567278384533,0.764127232693856,0.369843649758427,0.309012136872646,0.755511471101181
"C_SD33",0.832936792802445,0.505731372648217,0.915818556802564,0.778400480287694,0.749137808407308,0.921040820738446,0.917206509953701,0.788230825429962,0.808278817260957,0.737824533873489,0.628031859364842,0.485232565742013,0.637668909597771,0.801152490094487,0.765442112611362,1,0.498071626259467,0.719347685838571,0.882874000086861,0.507029654183565,0.328968007212122,0.747655142558821
"C_SD41",0.632788308860642,0.286565657370684,0.513866370714307,0.471440298245672,0.766171540820432,0.629226070058363,0.57958561491951,0.526731736384817,0.588710238645086,0.745436015296574,0.767915556580415,0.621477445326094,0.629290583156359,0.613041707427494,0.752986297542442,0.498071626259467,1,0.865801539348542,0.577519828655366,0.282413961681083,0.23647347822392,0.606501555060617
"C_SD42",0.786207282108256,0.438868700666742,0.713826083939497,0.64123351676422,0.904245388149723,0.830326688742222,0.778178101471097,0.679577587608863,0.77264773442263,0.878415612460268,0.834683496169068,0.668138855571228,0.724438745832445,0.773585341945011,0.853567278384533,0.719347685838571,0.865801539348542,1,0.763734270635791,0.412123034036347,0.293590288807459,0.722607089198201
"C_SD51",0.78331810127484,0.471583216050337,0.828287231748914,0.699605563808899,0.779995674287036,0.884164133627654,0.875432922138191,0.765292245018622,0.783925859343274,0.752162828706762,0.672251162880416,0.450475015642453,0.648577190914825,0.780527201418361,0.764127232693856,0.882874000086861,0.577519828655366,0.763734270635791,1,0.47016794521669,0.296597233457037,0.702825931013556
"C_SD52",0.682386499313378,0.82528516561815,0.593197384838199,0.671263694072121,0.432281155904841,0.519361973068347,0.527888374681518,0.462132514054562,0.521430493296196,0.473483282977956,0.431735726355449,0.386774234388969,0.505284218002513,0.681550495069413,0.369843649758427,0.507029654183565,0.282413961681083,0.412123034036347,0.47016794521669,1,0.237386809697295,0.473493238206052
"C_SD53",0.358892086407798,0.290431932504739,0.368596794992685,0.389584219721317,0.326460286176203,0.366617239489127,0.331049345889941,0.255026506576628,0.32620017343629,0.344545469909576,0.356230747147908,0.333370416575706,0.37280333476888,0.353307780050495,0.309012136872646,0.328968007212122,0.23647347822392,0.293590288807459,0.296597233457037,0.237386809697295,1,0.320249667591525
"C_SD54",0.798669717896414,0.478005076950527,0.781407980327014,0.738499679985198,0.696470280427063,0.796142640254358,0.77229511436649,0.700796750226424,0.732806528795652,0.740430029707851,0.656276057589877,0.601877114254989,0.670818298248037,0.741512369281084,0.755511471101181,0.747655142558821,0.606501555060617,0.722607089198201,0.702825931013556,0.473493238206052,0.320249667591525,1
